"order_id","product_id","preco_total_bruto"
"11032","38","6587.5"
"10892","59","2200.0"
"10823","59","2200.0"
"10889","38","10540.0"
"10912","29","7427.40"
"10711","53","3936.0"
"10633","62","3944.0"
"10605","60","2380.0"
"10440","61","2052.0"
"10440","29","2376.0"
"10359","60","2176.0"
"10339","17","2184.0"
"10637","56","2280.0"
"10344","8","2240.0"
"10324","63","2808.0"
"10360","38","2108.0"
"10805","38","2635.0"
"10567","59","2200.0"
"10524","43","2760.0"
"10400","29","2079.0"
"10981","38","15810.0"
"10762","56","2280.0"
"10570","56","2280.0"
"11021","51","2332.0"
"11064","17","3003.0"
"10267","59","3080.0"
"10424","38","10329.2"
"10666","29","4456.44"
"10852","62","2465.0"
"10353","38","10540.0"
"10514","56","2660.0"
"10398","55","2304.0"
"10514","20","3159.0"
"10949","62","2958.0"
"10479","38","6324.0"
"10895","60","3400.0"
"11053","18","2187.5"
"10588","18","2500.0"
"10612","10","2170.0"
"10607","17","3900.0"
"11033","53","2296.0"
"10329","38","4216.0"
"10886","10","2170.0"
"10701","59","2310.0"
"10993","29","6189.50"
"10851","59","2310.0"
"10817","38","7905.0"
"10841","59","2750.0"
"10687","9","4850.0"
"10694","7","2700.0"
"10595","61","3420.0"
"10515","60","2856.0"
"10691","62","2366.4"
"10402","63","2281.5"
"10252","20","2592.0"
"10893","29","2970.96"
"10598","27","2195.0"
"10678","12","3800.0"
"10776","51","6360.0"
"10865","38","15810.0"
"10335","51","2035.2"
"10490","59","2640.0"
"10351","38","4216.0"
"10634","18","3125.0"
"10897","29","9903.20"
"10638","72","2088.0"
"11072","64","4322.50"
"10401","56","2128.0"
"10616","38","3952.5"
"10787","29","2475.80"
"10479","59","2640.0"
"10691","29","4951.60"
"10831","38","2108.0"
"10417","38","10540.0"
"10953","20","4050.0"
"10515","27","5268.0"
"10451","55","2304.0"
"10772","29","2228.22"
"10854","10","3100.0"
"10549","51","2544.0"
"11017","59","6050.0"
"10801","29","2475.80"
"10816","38","7905.0"
"10305","29","2475.0"
"10316","62","2758.0"
"10518","38","3952.5"
"10540","38","7905.0"
"10629","29","2475.80"
"10430","59","3080.0"
"10764","39","2340.0"
"11030","59","5500.0"
"10836","60","2040.0"
"10510","29","4456.44"
"10948","51","2120.0"
"10360","29","3465.0"
"10561","51","2650.0"
"10672","38","3952.5"
"10345","8","2240.0"
"11030","29","7427.40"
"10745","59","2475.0"
"10688","28","2736.0"
"10595","69","2340.0"
"10372","38","8432.0"
"11008","28","3192.0"
